university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,Unnamed: 0,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors
Université de Montréal ,2021,118,54.3,https://www.topuniversities.com/universities/universite-de-montreal,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg,Public,Very High,7.0,"7,625",XL,"5,533",162.0,North America,7.392000000000001,5.948,8.102500000000001,5.773000000000001,3.443,5.107,8.966,7.822,7.395,7.299000000000001,7.7215,5.8405000000000005,7.2745000000000015,4.478000000000001,6.9175,8.193,5.303
University of Alberta,2021,119,54.0,https://www.topuniversities.com/universities/university-alberta,Canada,Edmonton,North America,https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small.jpg,Public,Very High,9.0,"9,689",XL,"3,645",84.0,North America,6.729500000000001,5.522,4.6240000000000006,2.392,1.902,5.09725,8.966,7.1175000000000015,8.269,5.948,8.17575,5.8405000000000005,7.2745000000000015,4.609999999999999,3.974,7.925499999999999,3.385
Eindhoven University of Technology,2021,120,53.9,https://www.topuniversities.com/universities/eindhoven-university-technology,Netherlands,Eindhoven,Europe,https://www.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg,Public,Very High,9.0,"1,872",M,"1,145",85.0,Europe,6.252000000000001,5.125,3.5405,3.0170000000000003,4.807499999999999,6.031750000000001,8.836666666666666,9.107,8.559333333333333,5.0805,8.805,5.053000000000001,4.954999999999999,7.658999999999999,4.333500000000001,9.3425,4.628
Pontificia Universidad Católica de Chile (UC),2021,121,53.8,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg,Private,Very High,12.0,"1,072",L,"2,343",217.0,South America,8.3815,7.237,6.2305,1.0,2.5355,5.550999999999999,7.765,6.9645,7.066,2.6415000000000006,4.528,3.725,8.929499999999999,1.0,7.556000000000001,7.171500000000001,5.499999999999999
University of Southern California,2021,121,53.8,https://www.topuniversities.com/universities/university-southern-california,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg,Private,Very High,10.0,"9,107",XL,"3,116",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Utrecht University,2021,121,53.8,https://www.topuniversities.com/universities/utrecht-university,Netherlands,Utrecht,Europe,https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg,Public,Very High,10.0,"4,454",XL,"3,254",251.0,Europe,5.4665,4.604,3.915,1.9290000000000005,8.0725,5.9902500000000005,8.836666666666666,8.631,8.394,5.5915,8.0955,5.053000000000001,4.954999999999999,6.676,5.373,8.5655,4.6965
Kyushu University,2021,124,53.7,https://www.topuniversities.com/universities/kyushu-university,Japan,Fukuoka City,Asia,https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg,Public,Very High,7.0,"2,125",L,"2,761",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nanjing University,2021,124,53.7,https://www.topuniversities.com/universities/nanjing-university,China (Mainland),Nanjing,Asia,https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg,Public,Very High,11.0,"2,513",XL,"3,040",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Uppsala University,2021,124,53.7,https://www.topuniversities.com/universities/uppsala-university,Sweden,Uppsala,Europe,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg,Public,Very High,10.0,"8,401",L,"2,843",250.0,Europe,7.16,5.442,1.4285,0.0,4.7485,5.9750000000000005,9.568999999999996,7.850000000000001,8.152666666666665,5.2045,8.5815,5.694499999999999,2.7495000000000003,5.854,3.427,6.950500000000001,3.4665
Aalto University,2021,127,53.6,https://www.topuniversities.com/universities/aalto-university,Finland,Espoo,Europe,https://www.topuniversities.com/sites/default/files/aalto-university_261_small.jpg,Public,Very High,9.0,"2,202",L,"1,396",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Leiden University,2021,128,53.4,https://www.topuniversities.com/universities/leiden-university,Netherlands,Leiden,Europe,https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg,Public,Very High,12.0,"6,064",XL,"2,069",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Groningen,2021,128,53.4,https://www.topuniversities.com/universities/university-groningen,Netherlands,Groningen,Europe,https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg,Public,Very High,8.0,"9,397",XL,"3,724",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Freie Universitaet Berlin,2021,130,53.2,https://www.topuniversities.com/universities/freie-universitaet-berlin,Germany,Berlin,Europe,https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg,Public,Very High,25.0,"6,659",XL,"1,389",26.0,Europe,6.3950000000000005,5.524,9.085,7.820000000000001,7.024999999999999,6.1960000000000015,9.072333333333331,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,7.177499999999998,5.475000000000001
"KIT, Karlsruhe Institute of Technology",2021,131,52.9,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology,Germany,Karlsruhe,Europe,https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg,Public,Very High,10.0,"5,030",L,"2,080",118.0,Europe,7.764499999999998,5.294,2.994,1.299,4.7985,4.905499999999999,9.072333333333331,6.858,8.412,5.2075000000000005,7.7675,5.373500000000001,3.9035,4.5945,3.9865,8.337,4.588500000000001
Universiti Putra Malaysia (UPM),2021,132,52.7,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm,Malaysia,Seri Kembangan,Asia,https://www.topuniversities.com/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg,Public,Very High,8.0,"5,040",L,"2,174",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Technology Sydney,2021,133,52.6,https://www.topuniversities.com/universities/university-technology-sydney,Australia,Haymarket,Oceania,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg,Public,Very High,16.0,"8,653",L,"2,183",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lancaster University,2021,135,52.5,https://www.topuniversities.com/universities/lancaster-university,United Kingdom,Lancaster,Europe,https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg,Public,Very High,10.0,"5,557",L,"1,440",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ghent University,2021,135,52.5,https://www.topuniversities.com/universities/ghent-university,Belgium,Ghent,Europe,https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg,Public,Very High,7.0,"4,609",XL,"5,537",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Politecnico di Milano,2021,137,52.4,https://www.topuniversities.com/universities/politecnico-di-milano,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg,Public,Very High,21.0,"7,452",XL,"1,659",157.0,Europe,5.194500000000001,4.801000000000001,5.190499999999999,3.286,6.683,5.5120000000000005,6.189666666666666,7.378000000000001,8.444666666666667,4.283,4.458,3.3625,2.4365,5.013999999999999,7.917000000000001,7.2195,5.641
CentraleSupélec,2021,138,52.3,https://www.topuniversities.com/universities/centralesupelec,France,Saint-Aubin,Europe,https://www.topuniversities.com/sites/default/files/centralesuplec_173_small.jpg,Public,Very High,nan,"1,068",S,552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chalmers University of Technology,2021,139,52.2,https://www.topuniversities.com/universities/chalmers-university-technology,Sweden,Gothenburg,Europe,https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg,Private,Very High,8.0,"2,502",M,"2,500",97.0,Europe,6.725,5.046000000000001,3.1285000000000007,3.725,3.6575,5.96875,9.568999999999996,7.296,8.101666666666667,4.7775,8.58975,5.694499999999999,2.7495000000000003,6.1925,4.0045,6.3645,4.5685
Hokkaido University,2021,139,52.2,https://www.topuniversities.com/universities/hokkaido-university,Japan,Sapporo,Asia,https://www.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg,Public,Very High,7.0,"1,984",L,"2,476",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Universiti Kebangsaan Malaysia (UKM),2021,141,52.0,https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm,Malaysia,Bangi,Asia,https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg,Public,Very High,6.0,"2,410",L,"2,829",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Universiti Sains Malaysia (USM),2021,142,51.9,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm,Malaysia,Gelugor,Asia,https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg,Public,Very High,8.0,"4,198",L,"2,249",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
King Abdulaziz University (KAU),2021,143,51.7,https://www.topuniversities.com/universities/king-abdulaziz-university-kau,Saudi Arabia,Jeddah,Asia,https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg,Public,Very High,8.0,"6,821",XL,"4,054",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
McMaster University,2021,144,51.5,https://www.topuniversities.com/universities/mcmaster-university,Canada,Hamilton,North America,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg,Public,Very High,7.0,"5,386",L,"3,819",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RWTH Aachen University,2021,145,51.4,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,Europe,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Public,Very High,19.0,"12,477",XL,"2,431",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hanyang University,2021,146,51.3,https://www.topuniversities.com/universities/hanyang-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg,Private,Very High,7.0,"3,455",L,"3,164",223.0,Asia,6.142500000000001,3.698000000000001,5.283500000000001,4.066000000000001,6.155999999999999,5.718999999999999,8.279333333333334,8.305,8.549,6.8655,6.787000000000001,5.561,6.6075,7.637,8.200000000000001,4.484,5.776
Aarhus University,2021,147,51.0,https://www.topuniversities.com/universities/aarhus-university,Denmark,nan,Europe,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg,Public,Very High,11.0,"2,911",L,683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Technische Universität Berlin (TU Berlin),2021,148,50.8,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,Germany,Berlin,Europe,https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg,Public,Very High,10.0,"6,464",L,"2,331",26.0,Europe,6.3950000000000005,5.524,9.085,7.820000000000001,7.024999999999999,6.1960000000000015,9.072333333333331,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,7.177499999999998,5.475000000000001
University of Basel,2021,149,50.6,https://www.topuniversities.com/universities/university-basel,Switzerland,Basel,Europe,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg,Public,Very High,9.0,"2,875",M,"1,036",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Vienna,2021,150,50.3,https://www.topuniversities.com/universities/university-vienna,Austria,Vienna,Europe,https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg,Public,Very High,12.0,"14,514",XL,"3,637",256.0,Europe,6.314000000000001,5.111,5.798000000000001,3.6350000000000007,8.0315,6.21325,7.596,8.5965,8.198,4.854500000000001,9.27,4.663,2.666,6.173,8.521500000000001,8.963999999999999,5.294499999999999
University of York,2021,150,50.3,https://www.topuniversities.com/universities/university-york,United Kingdom,York,Europe,https://www.topuniversities.com/sites/default/files/university-of-york_689_small.jpg,Public,Very High,9.0,"5,098",L,"2,209",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Newcastle University,2021,152,50.2,https://www.topuniversities.com/universities/newcastle-university,United Kingdom,Newcastle upon Tyne,Europe,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg,Public,Very High,10.0,"8,100",L,"2,766",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"University of California, Santa Barbara (UCSB)",2021,152,50.2,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb,United States,Santa Barbara,North America,https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg,Public,Very High,16.0,"4,309",L,"1,597",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"University of Maryland, College Park",2021,152,50.2,https://www.topuniversities.com/universities/university-maryland-college-park,United States,College Park,North America,https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg,Public,Very High,10.0,"4,659",XL,"3,798",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tecnológico de Monterrey,2021,155,49.9,https://www.topuniversities.com/universities/tecnologico-de-monterrey,Mexico,Monterrey,Latin America,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg,Private,High,8.0,"3,514",XL,"5,894",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Pittsburgh,2021,156,49.7,https://www.topuniversities.com/universities/university-pittsburgh,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,Public,Very High,6.0,"2,590",L,"4,746",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Michigan State University,2021,157,49.6,https://www.topuniversities.com/universities/michigan-state-university,United States,East Lansing,North America,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg,Public,Very High,15.0,"5,795",XL,"3,008",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Emory University,2021,158,49.1,https://www.topuniversities.com/universities/emory-university,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg,Private,Very High,5.0,"2,264",L,"2,725",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cardiff University,2021,159,48.5,https://www.topuniversities.com/universities/cardiff-university,United Kingdom,Cardiff,Europe,https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg,Public,Very High,9.0,"7,819",L,"3,350",53.0,Europe,7.065,6.082,3.3955,1.7800000000000002,4.890000000000001,5.764749999999999,8.991999999999999,8.21,8.318333333333332,4.785500000000001,6.607249999999999,5.438,5.9545,5.101,5.0285,7.996,4.8055
Alma Mater Studiorum - University of Bologna,2021,160,48.2,https://www.topuniversities.com/universities/alma-mater-studiorum-university-bologna,Italy,Bologna,Europe,https://www.topuniversities.com/sites/default/files/alma-mater-studiorum-university-of-bologna_592560cf2aeae70239af4ac0_small.jpg,Public,Very High,24.0,"5,536",XL,"2,885",33.0,Europe,7.471999999999999,5.189,3.1485000000000007,1.3969999999999998,3.682,5.53,6.189666666666666,7.337,8.577666666666667,4.202500000000001,5.460250000000001,3.3625,2.4365,7.7105,5.736000000000001,7.618,1.5815
École Normale Supérieure de Lyon,2021,161,48.1,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon,France,Lyon,Europe,https://www.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg,Public,Very High,5.0,233,S,387,143.0,Europe,6.697000000000001,4.349,4.4995,3.083,5.963000000000001,5.18525,8.088333333333333,7.134499999999999,8.641666666666666,4.5805,6.54325,4.2045,2.648000000000001,9.403,5.987500000000001,6.517,5.373500000000001
Case Western Reserve University,2021,162,47.4,https://www.topuniversities.com/universities/case-western-reserve-university,United States,Cleveland,North America,https://www.topuniversities.com/sites/default/files/case-western-reserve-university_102_small.jpg,Private,Very High,7.0,"2,864",M,"1,639",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Florida,2021,162,47.4,https://www.topuniversities.com/universities/university-florida,United States,Gainesville,North America,https://www.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg,Public,Very High,7.0,"4,143",XL,"6,222",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The University of Exeter,2021,164,47.2,https://www.topuniversities.com/universities/university-exeter,United Kingdom,Exeter,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-exeter_204_small.jpg,Public,Very High,10.0,"7,188",L,"2,393",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Rochester,2021,165,46.9,https://www.topuniversities.com/universities/university-rochester,United States,Rochester,North America,https://www.topuniversities.com/sites/default/files/university-of-rochester_592560cf2aeae70239af4c96_small.jpg,Private,Very High,5.0,"3,644",M,"1,853",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Al-Farabi Kazakh National University,2021,165,46.9,https://www.topuniversities.com/universities/al-farabi-kazakh-national-university,Kazakhstan,Almaty,Asia,https://www.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,Public,High,6.0,"3,054",L,"4,047",3.0,Asia,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999
University of Waterloo,2021,166,46.8,https://www.topuniversities.com/universities/university-waterloo,Canada,Waterloo,North America,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg,Public,Very High,18.0,"10,269",XL,"1,908",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
National Tsing Hua University,2021,168,46.4,https://www.topuniversities.com/universities/national-tsing-hua-university,Taiwan,Hsinchu City,Asia,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,Public,Very High,10.0,"1,551",L,"1,265",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Texas A&M University,2021,169,46.2,https://www.topuniversities.com/universities/texas-am-university,United States,College Station,North America,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,Public,Very High,21.0,"6,621",XL,"3,049",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University of Lausanne,2021,169,46.2,https://www.topuniversities.com/universities/university-lausanne,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg,Public,Very High,9.0,"3,026",L,"1,478",130.0,Europe,4.0755,1.0,3.822,3.308,6.5145,5.85825,8.888,8.032499999999999,7.351999999999999,6.622,8.809750000000001,6.552,6.4285000000000005,4.146,4.222,8.4535,5.337999999999999
Sapienza University of Rome,2021,171,46.1,https://www.topuniversities.com/universities/sapienza-university-rome,Italy,Rome,Europe,https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg,Public,Very High,23.0,"5,960",XL,"3,287",206.0,Europe,5.6025,5.323,4.6745,1.013,6.4335,4.533250000000001,6.189666666666666,6.604500000000001,7.863666666666665,4.157000000000001,4.2765,3.3625,2.4365,4.491,9.11,6.2215,6.396000000000001
Indian Institute of Technology Bombay (IITB),2021,172,46.0,https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb,India,Mumbai,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg,Public,Very High,11.0,116,M,"1,015",164.0,Asia,8.124,9.825,9.853000000000002,6.179,5.414,3.94,3.618,7.618500000000001,3.802333333333333,0.5275,2.0965,5.5565,3.4145,3.429,4.968499999999999,3.839,5.792000000000001
Technische Universität Dresden,2021,173,45.9,https://www.topuniversities.com/universities/technische-universitat-dresden,Germany,Dresden,Europe,https://www.topuniversities.com/sites/default/files/technische-universitt-dresden_598_small.jpg,Public,Very High,7.0,"5,167",XL,"4,636",79.0,Europe,7.884500000000001,6.0280000000000005,2.4065,1.533,3.536000000000001,4.959999999999999,9.072333333333331,8.463999999999999,8.393666666666666,5.124500000000001,8.110750000000001,5.373500000000001,3.9035,5.6035,6.6385,7.369,4.649
University of Bath,2021,173,45.9,https://www.topuniversities.com/universities/university-bath,United Kingdom,Bath,Europe,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,Public,Very High,12.0,"5,326",L,"1,339",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Eberhard Karls Universität Tübingen,2021,175,45.8,https://www.topuniversities.com/universities/eberhard-karls-universitat-tubingen,Germany,Tübingen,Europe,https://www.topuniversities.com/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg,Public,Very High,5.0,"2,872",L,"4,517",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Albert-Ludwigs-Universitaet Freiburg,2021,175,45.8,https://www.topuniversities.com/universities/albert-ludwigs-universitaet-freiburg,Germany,Freiburg im Breisgau,Europe,https://www.topuniversities.com/sites/default/files/albert-ludwigs-universitaet-freiburg_216_small.jpg,Public,Very High,11.0,"3,883",L,"1,993",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The Hebrew University of Jerusalem,2021,177,45.7,https://www.topuniversities.com/universities/hebrew-university-jerusalem,Israel,Jerusalem,Asia,https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg,Public,Very High,7.0,"1,176",L,"2,295",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
University College Dublin,2021,177,45.7,https://www.topuniversities.com/universities/university-college-dublin,Ireland,Dublin,Europe,https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg,Public,Very High,12.0,"6,118",L,"1,836",81.0,Europe,2.5125,4.005000000000001,5.651,6.204,4.7615,5.44625,8.345666666666666,7.121499999999999,6.8103333333333325,5.6065,6.5015,7.514500000000001,6.254999999999999,8.3435,7.134500000000001,7.328,5.664
University of Minnesota Twin Cities,2021,177,45.7,https://www.topuniversities.com/universities/university-minnesota-twin-cities,United States,Minneapolis,North America,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg,Public,Very High,11.0,"5,630",XL,"5,087",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Universidad de Chile,2021,180,45.6,https://www.topuniversities.com/universities/universidad-de-chile,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg,Public,Very High,15.0,"1,697",XL,"2,412",217.0,South America,8.3815,7.237,6.2305,1.0,2.5355,5.550999999999999,7.765,6.9645,7.066,2.6415000000000006,4.528,3.725,8.929499999999999,1.0,7.556000000000001,7.171500000000001,5.499999999999999
Stockholm University,2021,181,45.5,https://www.topuniversities.com/universities/stockholm-university,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg,Public,Very High,12.0,"7,567",L,"2,325",230.0,Europe,4.865,4.36,6.267,6.229,6.2255,5.685500000000001,9.568999999999996,6.8865,8.039333333333332,6.6675,8.99175,5.694499999999999,2.7495000000000003,7.6135,6.797499999999999,5.719500000000001,4.494
University of Liverpool,2021,181,45.5,https://www.topuniversities.com/universities/university-liverpool,United Kingdom,Liverpool,Europe,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg,Public,Very High,10.0,"9,500",L,"2,771",136.0,Europe,7.485,6.02,3.5589999999999997,2.355,6.649500000000001,4.541,8.991999999999999,7.7285,9.027666666666669,4.872,7.275250000000001,5.438,5.9545,8.994,5.393,7.451,5.458500000000001
Universitat de Barcelona,2021,183,45.4,https://www.topuniversities.com/universities/universitat-de-barcelona,Spain,Barcelona,Europe,https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg,Public,Very High,15.0,"6,979",XL,"3,002",18.0,Europe,6.323,6.074000000000001,7.7585000000000015,5.655,5.806,5.69925,7.1196666666666655,7.407499999999999,8.403333333333332,5.029000000000002,3.6655000000000006,4.296,3.894000000000001,6.467999999999999,8.591499999999998,7.471500000000001,5.827999999999999
University of Otago,2021,184,45.3,https://www.topuniversities.com/universities/university-otago,New Zealand,Dunedin,Oceania,https://www.topuniversities.com/sites/default/files/university-of-otago_474_small.jpg,Public,Very High,14.0,"3,585",L,"1,333",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Indian Institute of Science,2021,185,44.9,https://www.topuniversities.com/universities/indian-institute-science,India,Bangalore,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg,Public,Very High,9.0,5,S,446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
King Fahd University of Petroleum & Minerals,2021,186,44.7,https://www.topuniversities.com/universities/king-fahd-university-petroleum-minerals,Saudi Arabia,Dhahran,Asia,https://www.topuniversities.com/sites/default/files/king-fahd-university-of-petroleum-minerals_779_small.jpg,Public,Very High,7.0,782,M,"1,103",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Universiti Teknologi Malaysia ,2021,187,44.2,https://www.topuniversities.com/universities/universiti-teknologi-malaysia,Malaysia,Skudai,Asia,https://www.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_small.jpg,Public,Very High,11.0,"4,956",L,"1,869",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
